----------------------------------------------------------------------
排名   股票名称      代码        现价(元)       涨跌幅(%)      成交额       
----------------------------------------------------------------------
1    北京君正      300223    145.23      +4.21%      24.2亿     
2    工商银行      601398    7.41        +0.95%      6.1亿      
3    京东方Ａ      000725    6.49        +0.93%      94.7亿     
4    平安银行      000001    11.03       +0.46%      2.4亿      
5    兴业银行      601166    18.60       0.00%       3.5亿      
6    佳都科技      600728    4.73        0.00%       3479.0万   
7    招商银行      600036    38.57       -0.03%      4.5亿      
8    贵州茅台      600519    1268.96     -0.31%      9.0亿      
9    五 粮 液     000858    80.76       -0.39%      4.5亿      
10   长江电力      600900    27.47       -0.51%      7.0亿      
11   中国平安      601318    53.20       -0.52%      7.0亿      
12   迈瑞医疗      300760    143.46      -0.64%      2.0亿      
13   恒瑞医药      600276    46.77       -0.66%      6.5亿      
14   宁德时代      300750    400.20      -0.69%      22.3亿     
15   东方财富      300059    18.31       -1.13%      11.1亿     
16   海康威视      002415    30.92       -1.15%      3.8亿      
17   长安汽车      000625    7.90        -1.25%      1.2亿      
18   隆基绿能      601012    12.96       -1.29%      3.6亿      
19   阳光电源      300274    151.64      -1.37%      19.4亿     
20   大华股份      002236    16.68       -1.42%      1.1亿      
21   长芯博创      300548    215.50      -1.60%      9.4亿      
22   同花顺       300033    207.82      -1.69%      6.9亿      
23   宝信软件      600845    18.99       -1.71%      5735.0万   
24   中际旭创      300308    1159.00     -1.78%      130.4亿    
25   比亚迪       002594    91.32       -1.82%      7.9亿      
26   寒武纪       688256    1273.13     -2.01%      38.9亿     
27   中微公司      688012    269.90      -2.21%      13.2亿     
28   金山办公      688111    228.93      -2.27%      3.6亿      
29   科大讯飞      002230    44.96       -2.32%      4.3亿      
30   佳力图       603912    8.75        -2.45%      2574.0万   
31   东山精密      002384    215.79      -2.54%      45.8亿     
32   沪电股份      002463    129.66      -2.67%      33.6亿     
33   网宿科技      300017    14.63       -2.79%      3.9亿      
34   科华数据      002335    37.42       -2.83%      2.0亿      
35   英维克       002837    64.01       -2.87%      6.6亿      
36   中科曙光      603019    79.87       -3.04%      7.9亿      
37   亿纬锂能      300014    56.30       -3.31%      6.0亿      
38   中芯国际      688981    123.11      -3.37%      24.0亿     
39   海光信息      688041    264.80      -3.38%      18.8亿     
40   兆易创新      603986    470.83      -3.52%      65.9亿     
41   申菱环境      301018    94.01       -3.55%      2.6亿      
42   立讯精密      002475    66.29       -3.61%      31.9亿     
43   浪潮信息      000977    59.76       -3.83%      10.1亿     
44   紫光股份      000938    26.79       -3.88%      13.0亿     
45   明阳电路      300739    28.20       -4.05%      1.5亿      
46   东芯股份      688110    120.80      -4.13%      5.9亿      
47   新易盛       300502    715.93      -4.29%      74.4亿     
48   景旺电子      603228    68.21       -4.37%      4.3亿      
49   工业富联      601138    70.70       -4.54%      39.4亿     
50   深科技       000021    36.34       -4.69%      10.7亿     
51   高澜股份      300499    35.00       -4.71%      1.9亿      
52   宏发股份      600885    31.75       -4.71%      1.7亿      
53   生益科技      600183    130.75      -4.81%      23.4亿     
54   天孚通信      300394    433.00      -5.25%      46.0亿     
55   华懋科技      603306    92.97       -6.04%      3.7亿      
56   环旭电子      601231    39.89       -6.49%      4.9亿      
57   佰维存储      688525    290.31      -6.65%      28.0亿     
58   光库科技      300620    297.58      -7.09%      17.5亿     
59   光迅科技      002281    208.68      -8.30%      40.0亿     
----------------------------------------------------------------------

总计: 59只 | 上涨: 4只 | 下跌: 53只 | 平盘: 2只
涨幅最大: 北京君正(300223) 4.21%
跌幅最大: 光迅科技(002281) -8.30%
